COD_EMPRESA,CODIGO,ESTOQUE_PROJ,VENDA_MEDIA_MES,DIAS_COBERTURA,STATUS_ESTOQUE,RECEITA_TOTAL,DESCRICAO,NIVEL_1,CD_CIDADE,CD_ESTADO
1,544,0.0,0.0,0.0,EM RUPTURA,,PLACA 4X2 2PST.       618502 PLUS,E - MATERIAIS ELETRICOS,GARANHUNS,PE
1,1007,0.0,0.0,0.0,EM RUPTURA,,CABECEIRA CIRCULAR P/CALHA DIR    BG,H - TUBOS E CONEXOES,GARANHUNS,PE
1,1029,0.0,0.0,0.0,EM RUPTURA,,BOCAL CIRCULAR P/CALHA            BG,H - TUBOS E CONEXOES,GARANHUNS,PE
1,6143,-3.0,1.1428571428571428,0.0,EM RUPTURA,1860.6,BACIA SNT.SAVEIRO          0230 PR77,W - LOUCAS E PIAS,GARANHUNS,PE
1,6155,-4.0,1.4,0.0,EM RUPTURA,738.4649999999999,COLUNA SAVEIRO             0220 PR77,W - LOUCAS E PIAS,GARANHUNS,PE
1,6157,-4.0,1.5,0.0,EM RUPTURA,1245.51,LAVAT.LOC.SAVEIRO 47X38    0200 PR77,W - LOUCAS E PIAS,GARANHUNS,PE
1,7219,-52.0,4.318181818181818,0.0,EM RUPTURA,23821.980000000003,"SELADOR ACR.INT/EXT 18,0L       1470",S - TINTAS E QUIMICOS,GARANHUNS,PE
1,8458,0.0,0.0,0.0,EM RUPTURA,,PERSIANA VINIL  080X125 PT,V - DECORACAO,GARANHUNS,PE
1,8588,-45.0,4.136363636363637,0.0,EM RUPTURA,1552.845,CHAVE FEN.TESTE 12V DIGITAL 307 M220,E - MATERIAIS ELETRICOS,GARANHUNS,PE
1,12437,1.0,1.0,30.0,CRÍTICO,544.95,BACIA SNT.INFANTIL        08254 BR01,W - LOUCAS E PIAS,GARANHUNS,PE
1,12901,0.0,0.0,0.0,EM RUPTURA,,TUBO COBR HIDR.CLAS.E 5M 22MM 1.80KG,H - TUBOS E CONEXOES,GARANHUNS,PE
1,14539,-7.0,1.1666666666666667,0.0,EM RUPTURA,1632.54,BACIA SNT.SAVEIRO          0230 PG59,W - LOUCAS E PIAS,GARANHUNS,PE
1,14540,-5.0,1.1428571428571428,0.0,EM RUPTURA,726.8100000000001,COLUNA SAVEIRO             0220 PG59,W - LOUCAS E PIAS,GARANHUNS,PE
1,20801,-1.0,1.375,0.0,EM RUPTURA,39402.090000000004,ROCADEIRA GAS.FS220 300MM    2000034,M - MAQUINAS E MOTORES,GARANHUNS,PE
1,22127,0.0,0.0,0.0,EM RUPTURA,,MODULO CEGO 1S       SL4950F PT LLIG,E - MATERIAIS ELETRICOS,GARANHUNS,PE
1,22210,-12.0,1.7,0.0,EM RUPTURA,3239.67,"PICHE EXTRA                     3,6L",S - TINTAS E QUIMICOS,GARANHUNS,PE
1,22211,-5.0,1.4,0.0,EM RUPTURA,5417.264999999999,"PICHE EXTRA                    18,0L",S - TINTAS E QUIMICOS,GARANHUNS,PE
1,22271,0.0,0.0,0.0,EM RUPTURA,,MODULO CEGO 1S       SN4950F BR LLIG,E - MATERIAIS ELETRICOS,GARANHUNS,PE
1,26818,-1.0,1.0,0.0,EM RUPTURA,523.95,CUBA LOC.APOIO CILIN.L71   GELO GE17,W - LOUCAS E PIAS,GARANHUNS,PE
1,27525,-1.0,1.3333333333333333,0.0,EM RUPTURA,1091.58,CUBA LOC.EMB.49X37 RET.    7610 BR01,W - LOUCAS E PIAS,GARANHUNS,PE
1,29896,-15.0,1.5,0.0,EM RUPTURA,1544.0249999999999,MESA PLS CENT BASIC               BR,O - MOVEIS,GARANHUNS,PE
1,30414,0.0,0.0,0.0,EM RUPTURA,,UNIAO CPVC                      28MM,H - TUBOS E CONEXOES,GARANHUNS,PE
1,30503,-193.0,12.0625,0.0,EM RUPTURA,12852.8505,CUSCUZEIRA POLIDA    N.16 9295301233,B - UTILIDADES DOMESTICAS,GARANHUNS,PE
1,30504,-150.0,10.0,0.0,EM RUPTURA,12736.500000000002,CUSCUZEIRA POLIDA    N.18 9295301234,B - UTILIDADES DOMESTICAS,GARANHUNS,PE
1,32394,-2.0,1.25,0.0,EM RUPTURA,4762.17,BOMBA VIBRATORIA ECCO           M220,M - MAQUINAS E MOTORES,GARANHUNS,PE
